order_id,latency_ns
1007,1619000
1627,500
1591,98700
1628,400
1623,15400
1606,59500
1503,332400
1629,500
1635,500
1630,8900
1636,500
1631,8500
1637,500
1634,8600
1639,500
1480,410700
1640,600
1396,622700
1618,58400
1644,600
1646,500
1642,9600
1645,4100
1641,13400
1649,600
1638,30600
1650,500
1448,517800
1643,20300
1651,500
1652,400
1654,500
1605,124500
1657,500
1653,9000
1658,600
1583,193100
1663,500
1660,6100
1401,666100
1665,500
1612,135200
1668,500
1666,4700
1662,16000
1614,138100
1669,400
1670,500
1671,400
1673,400
1647,63600
1667,15800
1674,500
1677,500
1676,4500
1625,133000
1678,500
1655,59300
1682,500
1679,7000
1684,500
1683,2600
1685,600
1672,34200
1687,600
1686,2800
1690,400
1688,4600
1691,600
1624,169800
1692,500
1675,45500
1695,500
1696,400
1694,5400
1697,500
1698,400
1659,97300
1700,500
1701,600
1127,1456100
1155,1381000
1702,500
1321,968000
1703,500
1681,56900
1708,500
1706,4600
1711,500
1705,13100
1709,5800
1710,4500
1713,600
1707,15600
1716,500
1715,2600
1718,500
1704,34400
1720,500
1719,3000
1721,500
1725,500
1717,18800
1727,400
1723,10000
1728,500
1726,5700
1729,500
1731,500
1733,500
1734,400
1730,11300
1736,1700
1737,500
1741,500
1735,14000
1742,500
1738,11000
1739,9900
1743,500
1745,500
1744,2600
1633,278300
1748,500
1746,5100
1749,500
1656,232500
1751,500
1752,500
1714,94700
1753,500
1722,77200
1755,500
1122,1598900
1661,234100
1136,1565200
1756,400
1279,1205700
1093,1680000
1757,500
1529,580700
1759,500
1758,2600
1761,400
987,2009400
1762,500
1763,600
1278,1225100
1765,500
1768,500
1770,400
797,2580300
1771,500
1764,15200
1773,400
1776,500
1699,189300
1732,108100
1778,500
1777,2600
1783,400
1781,4600
1784,500
1780,9600
1788,400
1787,2500
1790,400
1791,500
1785,17900
1794,600
1795,400
1779,39800
1798,600
1799,500
1786,33200
1803,500
1801,4600
1802,2900
1804,400
1806,500
1782,58600
1807,500
1808,500
1793,35300
1809,500
1789,50100
1811,500
1810,3500
1812,500
1805,18700
1814,500
1772,101700
1796,45400
1815,600
1818,500
1816,6300
1825,500
1820,10200
1826,500
1822,9400
1829,500
1828,2600
1831,400
1835,600
1833,5400
1839,500
1841,600
1842,500
1837,11800
1821,46600
1846,500
1838,24000
1824,53300
1840,19300
1848,500
1849,600
1854,500
1827,65700
1855,500
1830,61900
1851,11700
1858,500
1832,65100
1850,20900
1845,35800
1861,500
1860,2600
1863,400
1862,3500
1864,400
1865,400
